A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
0,0,185,0,51,0,69,6,4,510,53,3,0,17,581,10,4,0,8,23,535,2,26,24,2,1,26,16,2,31,35,3,2061,26,329,0,25,109,14,1,0,1,0,5,2,56,76,14,30,0,8,120,4,0,23,16,1,5,8,16,15,62,2,3,94,18,36,9,10,0,178,7098,6,802,6,0,21,18
0,46,308,1,218,0,153,28,9,2851,63,19,11,139,484,62,50,0,61,29,624,25,56,205,12,2,137,295,2,549,127,48,1546,116,854,25,83,145,79,1,4,13,11,29,7,326,528,144,161,8,62,477,113,0,206,75,191,49,98,104,149,85,4,71,364,89,138,32,57,0,360,8051,15,2343,66,0,126,113
0,1,95,3,182,0,180,38,6,2898,66,7,6,83,767,78,38,0,38,22,399,65,46,307,2,4,55,86,0,1046,160,52,1800,36,1025,27,87,133,111,0,1,13,18,39,4,177,134,396,180,1,11,533,8,2,276,50,1,33,125,74,390,88,0,66,236,34,81,12,80,0,515,5185,24,3701,74,0,172,74
0,0,243,0,153,0,110,4,9,1675,48,6,6,54,182,17,14,0,30,14,436,47,47,84,0,0,19,235,2,620,118,19,2366,56,1190,10,21,79,29,0,0,7,1,4,1,43,1,93,75,0,2,205,21,0,389,43,1,19,63,15,76,64,0,37,87,13,22,3,57,0,448,4722,15,3415,22,0,89,60
0,0,158,0,45,0,47,0,3,154,40,3,1,68,589,10,6,0,12,16,291,6,28,33,8,0,14,33,0,50,92,5,340,26,1103,1,7,43,6,1,0,3,0,8,0,9,0,4,38,0,0,224,8,0,28,17,0,2,21,0,25,58,0,8,29,7,12,1,5,0,197,5987,3,431,9,0,30,41
0,0,1062,0,48,0,73,0,2,14,11,0,0,48,878,4,2,0,6,6,352,0,15,25,0,0,11,11,0,11,10,7,2254,18,879,1,0,107,3,1,0,0,0,1,0,10,0,0,15,0,0,90,2,0,4,2,1,1,11,0,2,85,0,2,5,0,1,0,0,0,85,5843,4,0,3,0,18,7
0,0,501,0,3,0,2,0,0,0,0,1,0,28,22,0,0,0,0,0,190,0,0,8,0,0,0,0,0,0,0,0,513,0,486,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,42,0,0,0,0,4,0
1453,4140,1420,1,1791,8,782,502,9167,7171,1610,458,1594,1016,1369,291,1156,0,1831,203,692,74,90,1396,55,79,50,2543,1280,1080,375,60,2389,4949,2356,170,2652,598,117,1125,136,588,7,43,943,2679,10172,558,211,125,8220,1320,6504,35,347,1632,77,8984,136,861,831,167,1211,222,6800,1424,2153,607,412,13,769,7466,119,5611,353,0,603,299
0,0,130,0,44,0,72,0,534,22,75,3,0,320,525,2,0,0,1,9,281,0,8,16,0,0,5,7,1,8,7,0,1756,17,259,0,0,49,0,1,0,0,0,0,0,15,0,0,10,0,0,33,0,0,5,4,0,0,7,0,1,51,0,0,5,0,4,0,1,0,43,5076,1,0,3,0,5,1
0,0,58,0,99,0,119,0,75,124,142,3,0,734,475,10,3,0,10,7,303,6,48,44,6,0,8,28,2,100,205,16,1238,44,227,3,11,58,16,9,0,5,1,9,0,13,0,8,45,0,0,434,0,0,65,13,0,2,40,0,35,75,0,13,75,2,10,1,68,0,246,4558,10,646,17,0,40,30
0,2,249,0,89,0,114,2,82,287,180,5,6,4362,272,10,7,0,7,11,312,0,31,22,0,0,13,54,2,20,40,5,1420,77,165,2,15,31,6,24,0,2,0,10,0,43,1,10,24,0,2,241,7,0,30,21,0,6,15,15,2,89,5,5,190,9,27,9,15,0,85,3622,4,940,13,0,48,30
0,2,109,0,32,0,76,11,115,585,219,4,0,891,319,19,3,0,4,19,237,1,45,27,5,1,2,19,10,29,58,4,400,20,128,0,38,23,9,229,0,4,0,4,2,103,22,42,56,0,8,196,0,0,30,13,0,2,12,64,8,61,7,2,573,17,104,8,33,0,89,3125,2,1074,9,0,27,20
0,7,88,4,328,0,478,56,101,782,242,3,21,704,798,93,80,0,66,23,301,91,528,529,7,5,18,200,21,1660,450,202,3141,88,473,45,85,86,175,160,5,56,31,40,10,134,444,564,208,4,9,8826,14,4,510,32,0,58,292,60,412,225,13,128,735,63,138,18,99,0,806,3590,37,2606,99,0,311,158
0,58,155,2,526,0,586,47,48,678,322,7,86,485,668,116,155,0,93,17,382,101,1178,498,9,3,184,383,11,1772,309,125,2509,308,695,25,88,102,97,47,3,56,23,31,4,135,414,401,181,1,16,7275,169,3,462,83,410,97,221,39,309,196,7,192,681,34,71,26,40,0,733,4452,40,1464,163,0,287,262
0,100,255,0,33,0,91,18,151,452,390,11,5,237,118,18,4,0,11,19,310,13,5,17,8,1,5,24,55,32,33,14,410,25,99,6,98,6,50,28,11,4,13,1,26,337,714,55,27,8,69,23,3,1,1,18,0,39,14,73,19,70,96,4,1498,62,291,28,39,0,13,3467,2,450,2,0,22,10
0,8,168,0,102,0,162,30,8,302,449,5,2,244,314,22,14,0,17,17,348,12,81,106,2,0,5,37,13,53,71,5,1047,92,165,1,24,24,21,13,0,11,2,6,5,80,2,29,66,0,4,468,5,0,138,18,0,5,64,40,22,137,1,12,642,15,70,4,26,0,167,3780,5,1217,15,0,51,37
0,2,172,1,173,0,373,47,60,408,434,10,0,257,723,68,36,0,33,30,419,143,119,489,20,5,20,103,51,373,227,53,8206,96,309,12,80,38,87,8,0,25,5,18,19,178,282,156,139,2,60,754,2,1,279,19,0,106,625,59,127,192,78,42,1106,55,291,28,41,0,426,3147,29,1718,24,0,139,86
0,206,178,1,260,1,323,99,187,1209,548,25,125,221,397,137,120,0,77,31,426,145,111,525,2,4,74,171,91,610,209,95,2613,217,487,17,133,36,359,14,9,40,58,12,24,403,625,172,201,12,220,1858,41,2,277,52,97,153,579,101,150,289,220,74,2088,65,285,46,42,1,438,4229,29,1690,60,0,182,194
0,4,154,0,75,0,90,32,13,208,260,7,1,80,302,12,5,0,11,17,458,5,36,19,6,0,2,24,54,25,10,3,1158,45,92,2,53,6,7,6,0,2,1,4,9,116,62,18,22,4,12,115,1,0,11,9,0,10,111,39,3,130,21,3,1227,23,130,6,22,0,84,3909,3,763,9,0,44,18
0,67,28,0,124,0,172,40,19,906,164,16,6,57,696,23,20,0,32,31,500,2,56,22,27,0,3,49,122,41,7,6,991,101,137,33,74,8,36,4,0,15,1,4,15,169,111,74,48,2,17,140,0,0,45,21,0,23,159,66,23,292,28,3,1945,37,186,33,14,0,68,4227,8,894,4,0,73,32
0,1,1836,1,433,0,477,2,0,170,50,10,13,74,1012,63,62,0,55,17,560,38,388,890,2,0,34,138,109,271,279,93,3610,305,410,49,17,18,93,4,0,57,7,14,2,24,0,86,154,1,3,1027,26,0,482,33,10,34,1012,13,163,468,12,65,875,6,33,8,219,0,1091,3570,43,3512,60,0,320,143
0,3,662,153,2332,0,697,124,189,647,167,365,253,426,324,297,314,0,63,104,317,159,515,721,10,4,89,718,190,542,85,175,1727,26800,231,288,476,140,173,12,199,1428,91,152,66,238,630,134,259,15,77,23351,64,240,276,40,3,999,1163,71,363,203,93,858,1991,5974,361,292,439,2,551,3155,38,672,567,0,647,559
14,2637,2419,841,8192,1,3047,411,1338,1545,296,1364,1642,1941,1897,1926,1839,442,640,258,805,1227,3066,2403,9,34,1088,4344,742,13297,732,1521,9427,104247,2186,1893,2008,797,1448,75,607,5169,543,325,421,915,2540,457,1485,58,529,82486,1234,1086,1002,361,955,2586,9804,254,2686,824,640,5931,6286,37260,1010,1373,452,178,2867,6520,264,1101,1839,0,2969,1760
0,2,72,0,215,0,100,4,0,110,43,3,0,16,197,21,10,0,8,20,593,2,87,34,11,0,2,25,658,47,56,27,1011,112,147,54,17,4,9,3,0,13,0,2,3,29,0,61,32,0,4,445,0,0,40,6,0,0,11152,6,24,341,7,9,1415,4,74,10,10,0,231,3811,8,1727,8,0,81,22
0,12,317,0,127,0,42,25,0,518,62,4,4,18,723,19,5,0,13,24,580,6,32,18,36,0,0,16,1147,28,4,7,206,59,110,127,57,1,14,2,0,1,0,1,5,136,35,25,29,6,23,64,0,0,4,23,0,14,150654,22,10,372,36,4,2622,31,263,16,25,0,78,3987,12,872,8,0,33,17
0,81,41,0,94,0,23,78,6,248,83,7,14,7,194,10,12,0,20,21,699,4,3,16,16,1,1,42,1482,38,0,4,23,54,102,6,71,0,2,4,4,3,0,1,34,167,84,58,12,4,30,42,4,0,2,18,0,40,4072,40,1,152,83,4,3516,52,261,29,99,0,50,4703,5,916,8,0,19,11
0,0,175,1,303,0,397,42,15,353,93,3,16,126,597,114,68,0,54,23,751,69,79273,10993,22,3,24,124,937,297,235,359,1881,259,480,237,102,22,141,4,11,70,13,115,85,99,130,321,226,6,48,1294,14,0,591,21,2,360,663,41,250,737,93,75,2494,25,274,39,337,0,1349,3877,61,4639,71,0,304,112
0,332,411,5,684,0,735,203,82,1291,192,24,280,259,760,205,216,0,220,46,775,150,2258,4270,28,11,138,325,543,529,261,289,1420,802,942,218,354,34,208,17,49,126,23,37,163,420,723,358,318,20,296,4543,125,0,1079,82,148,806,1076,143,499,835,592,197,5942,368,684,90,117,0,2007,5583,71,4248,229,0,590,346
0,20,80,0,71,0,15,20,1,321,208,3,2,13,511,37,3,0,9,13,553,1,4,50,25,0,0,16,120,12,0,20,45,39,157,1,34,2,18,2,0,0,0,0,136,80,7,76,73,0,11,36,1,0,1,14,0,6,232,5,3,241,279,2,3634,19,206,23,48,0,156,5248,1,1481,6,0,20,13
0,232,711,17,945,0,849,168,12,843,211,10,472,609,867,410,420,0,233,56,741,266,1776,10971,37,3,371,899,92,1974,346,562,1817,1319,1003,573,600,126,476,15,207,263,140,83,118,257,370,1291,532,10,179,21716,221,37,1511,96,507,711,1864,116,1463,1135,538,845,6027,844,601,94,131,8,1692,5554,100,1639,465,0,1119,602
0,76,187,0,168,0,58,32,0,182,250,4,10,47,672,16,13,0,28,30,706,0,67,289,54,1,0,44,34,30,22,128,298,174,310,27,67,3,17,8,0,13,0,6,22,99,46,136,30,5,57,415,1,0,204,13,0,57,79,30,21,548,536,5,4482,30,313,26,116,0,869,6733,7,1851,12,0,80,16
0,7,481,0,216,0,106,57,1,307,441,0,3,80,610,42,12,0,25,21,813,64,72,1152,40,1,3,35,27,71,49,210,1001,121,429,59,79,3,61,3,3,13,2,2,24,106,41,120,80,2,39,626,0,0,455,8,1,98,475,47,39,1013,523,13,4430,94,424,24,174,0,1164,5321,15,2168,24,0,99,38
0,75,1407,0,234,0,95,113,2,608,184,2,15,41,564,27,25,0,42,24,1054,2,65,1875,97,3,5,58,23,85,28,129,223,194,812,224,83,2,39,7,1,12,0,3,24,139,19,132,57,6,37,677,4,0,1145,45,2,35,79,30,28,1258,1049,12,7189,44,448,19,95,0,1201,6043,19,2905,35,0,127,31
0,40,43671,2,361,1,317,88,1,112,227,3,64,147,962,168,61,0,121,24,1239,36,207,4882,123,0,43,112,7,163,150,164,504,313,1205,306,58,13,137,1,1,40,5,13,15,49,2,278,169,2,12,1302,35,1,1931,27,43,53,285,11,287,1636,3723,100,5681,13,352,18,144,0,3042,5508,74,3831,162,0,513,163
0,14,16882,0,280,0,151,27,0,69,595,3,11,68,856,52,28,0,67,26,1348,4,106,3655,258,0,3,133,5,73,86,151,377,192,1712,158,30,5,65,0,0,7,1,9,2,25,1,382,90,1,8,842,13,0,1295,16,1,14,67,4,100,1594,3884,32,4029,4,353,13,186,0,2952,5076,41,4264,65,0,200,88
0,0,287322,0,359,0,73,1,5,33,252,0,1,84,1603,20,5,0,39,14,1652,0,53,2365,13474,0,1,252,0,38,35,42,264,78,4433,150,2,0,23,0,0,4,0,1,4,1,0,6,46,0,0,651,1,0,733,9,3,0,24,3,43,1721,6986,15,423,0,125,2,14,0,4751,4419,18,2108,30,0,81,17
0,0,0,0,204,0,4,0,0,0,16,0,0,14,886,2,0,0,4,2,5107,0,9,72,1,0,0,440,0,6,0,1,244,12,12420,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,68,0,0,49,0,0,0,7,1,1,842,0,0,0,0,7,0,0,0,2658,2974,6,0,14,0,12,1
2306,4827,197833,136,1348,12,1361,5208,5958,3559,2059,296,413,1506,5202,6437,1275,0,3780,294,40079,4317,2571,22491,264,103,462,2441,3932,2202,708,1677,4021,1834,67916,1371,2786,642,20804,7188,426,200,1994,500,1626,1772,3451,2001,6508,191,2781,7458,152,119,4033,1575,144,14620,731,15938,2770,9690,15511,1217,43356,3760,4295,910,1084,78,9940,8886,342,13135,771,0,2581,4002
0,2,1002,0,222,0,103,4,0,18,57,0,0,161,1600,34,6,0,90,16,18121,0,44,3135,12,1,3,2924,3,55,15,9,103,49,7687,49,6,3,90,0,0,1,0,5,4,0,0,7,95,0,0,679,0,0,571,19,0,0,37,4,48,4458,9027,7,421,0,459,3,62,0,4986,3096,69,914,58,0,89,36
0,35,28617,4,233,0,422,157,0,106,78,13,27,197,1728,163,39,0,276,39,15365,4,127,27994,1134,2,36,2676,10,158,278,42,379,202,3282,95,87,16,491,0,2,13,4,15,26,18,5,563,259,5,22,1674,13,0,2440,30,3,17,83,19,249,3424,6624,90,8042,11,1257,28,604,88,5998,3085,162,8195,200,0,457,144
0,103,132,1,113,2,190,294,2,145,100,29,1,49,984,83,22,0,199,47,14217,5,24,4717,79317,13,2,2968,13,70,16,11,106,59,1542,9,81,23,358,3,1,4,0,5,45,43,40,169,152,3,105,380,1,0,769,22,0,45,39,94,40,4129,44217,36,10229,26,1048,45,122,4,5083,2951,97,2769,110,0,95,77
0,102,1610,1,122,0,720,368,8,314,104,15,10,91,3488,234,18,0,306,59,13095,16,81,18583,142,24,10,2299,26,150,223,29,240,81,1388,55,207,24,500,10,2,10,1,14,89,114,49,675,269,17,505,1719,1,1,2439,38,5,311,96,1004,336,5986,26170,175,14006,301,1229,57,726,56,7109,2573,348,10655,254,0,300,128
0,195,5510,21,1290,1,2335,305,33,392,115,1799,327,581,8481,1616,403,0,672,50,15953,212,795,24609,52,65,228,1880,41,359,726,142,729,688,1876,429,550,135,884,12,32,318,53,120,147,138,163,1274,642,18,544,3338,37,54,8479,77,15,872,610,1368,1744,8147,50138,687,14529,16385,1385,153,1112,216,6327,2159,634,10193,903,0,1771,594
0,996,3831,11,1350,2,6797,574,31,445,138,955,994,614,29613,859,498,0,567,64,18883,96,1255,20693,40,177,622,1523,54,336,716,89,389,3021,1528,240,514,162,571,16,16,351,47,71,198,106,1391,877,514,31,421,3002,366,33,3666,87,431,776,448,656,1244,643741,34581,921,14025,12894,1378,175,254,303,4955,1337,771,9501,835,0,1643,625
2,581,1415,1,153,3,13927,460,751,693,299,117,37,37,9895,344,703,0,625,87,18377,3,84,31836,87,379,16,805,227,113,173,10,395,154,6470,38,425,111,624,103,23,12,2,54,322,244,8341,904,318,47,817,695,24,0,6713,176,3,2646,68,2690,295,49154,43096,355,17238,589,1463,164,1405,155,3065,673,2152,17637,1111,0,6209,166
0,359,1673,4,371,3,8808,2018,40,489,252,45,58,69,7559,638,2695,0,666,174,19009,9,116,39332,87,699,49,641,147,102,613,38,2159,138,4207,68,516,77,920,10,10,81,3,29,305,86,11653,1170,420,46,268,1434,43,8,6486,250,2,188,124,1882,1298,5480,33798,594,18731,840,1402,127,4026,271,2446,364,9346,26811,2241,0,21708,352
134,141,1877,3,179,2,7737,736,1089,978,385,65,2,22,5255,388,7493,0,1006,2558,19340,1,80,44736,83,1021,19,543,379,65,144,33,1113,44,3372,30,580,274,1056,21,40,1,0,14,366,173,17561,1004,323,77,430,525,3,2,5690,306,1,1789,69,2725,240,6221,28997,399,17706,1277,1252,144,3504,106,1833,291,38979,35954,4423,0,1235,185
116,1473,2151,6,521,5,8702,1232,3023,2066,492,503,90,42,6991,719,20773,0,1157,538,20628,0,105,51015,11551,692,41,747,1421,86,257,42,1820,163,4200,43,1148,799,1715,3189,210,63,7,40,544,438,20769,1584,509,220,817,999,46,5,9043,477,4,1930,122,5957,990,8464,36782,754,22462,3828,1788,256,8213,582,1684,585,78704,75347,11559,0,3691,279
114,649,3852,8,791,0,5371,1872,156,2509,369,128,360,190,9577,1608,21730,0,2344,240,21463,94,194,49470,1,323,214,681,1050,130,1060,123,2383,913,9318,274,1222,464,2795,6,26699,221,10,70,1434,372,12776,1815,711,577,453,1566,132,25,23581,307,33,383,198,4094,2039,9418,20984,1716,20903,16049,3987,260,8890,377,2131,465,82974,98345,19857,0,3686,735
108,2461,15737,65,3827,1,2264,5412,419,2880,429,776,1126,1054,9291,5705,8337,0,2720,420,25381,145,405,44921,13,280,625,818,1178,119,939,230,3073,4042,12708,614,4227,1317,3466,303,113137,1487,63,131,1002,734,10070,3522,1197,2095,2033,1656,328,172,21885,444,112,678,309,4675,3222,5895,16228,3103,30223,36800,5356,850,8878,1019,2263,2368,32809,94848,18466,0,108464,1258
0,1961,1000,36,3576,2,2608,131835,241,1248,216,2373,296,254,21904,5152,13418,0,6767,331,41762,28,355,55360,5,212,281,837,733,89,323,232,10284,293,7581,721,3107,1215,4799,4,880,941,17,128,2229,560,8710,1224,999,7779,4046,2102,127,131,10746,506,4,100,267,4210,6206,15721,10033,2385,22227,54112,1825,527,12326,1318,2784,1719,21431,111999,20552,0,156627,994
362,4997,2681,1,129,3,2334,150090,3049,995,301,600,0,40,47899,9560,6105,0,15991,364,52148,3,96,14906,66,153,29,598,1116,29,28,189,14995,26,3883,1299,2740,315,3742,108,42,251,2,105,785,651,5308,2818,473,12640,4199,1146,8,30,3312,611,3,1822,61,7326,2185,20185,6924,1149,18774,16973,1572,498,7538,234,2031,2916,37364,193081,13176,0,3658,345
4816,27312,6461,24,478,16,3813,115157,12316,3030,946,954,145,66,37461,7172,3139,27,12575,706,60775,53,142,16755,28,280,99,972,2765,169,49,274,7632,372,2754,3354,6933,1536,4719,34862,224,401,199,161,1677,1886,2862,5787,538,15870,5198,2508,404,98,2932,3412,3,5165,90,16594,4790,33920,5401,1095,39575,34707,2525,1259,10351,567,2148,3402,7128,108042,10993,0,9775,457
0,76505,110,110,4615,4,7651,4332,221,901,104,1554,89,112,9681,20869,6357,0,30909,1160,36679,4,376,14359,73,463,182,880,203,19,72,69,4353,140,1533,835,8401,101,2837,6,132,642,14,203,857,999,465,566,632,5682,3391,2512,73,512,5145,3424,12,34,160,8558,9283,21353,2015,990,34982,66793,1302,1109,10415,1386,1980,1934,3005,90652,7487,0,5360,627
2372,21016,1479,9,526,9,5126,4065,209,1238,126,223,14,44,2213,20964,2470,0,27385,999,24531,1,256,4605,156,446,71,784,152,22,5,24,5159,58,801,739,8943,86,1996,34,155,144,8,160,634,873,289,845,412,1700,2669,2104,15,1086,1740,4634,5,111,78,18375,11005,12188,1479,551,26445,10474,1410,784,11225,587,1382,1940,1694,9838,4791,0,2217,353
1247,45512,2426,166,3248,24,3729,5290,285,3174,185,535,395,712,1830,76471,6585,0,45037,1860,10387,14,381,11619,10115,2548,380,944,248,52,75,48,8049,425,1164,636,16989,277,1725,1238,277,1830,28,200,4045,2767,409,3497,804,975,2050,2921,192,2754,2462,8887,52,322,223,42941,9919,6299,1880,1088,44972,2742,2531,1524,2049,1872,1848,2473,1532,12718,3953,0,11107,836
6456,78134,10261,946,26132,29,4417,5927,2145,5456,576,3152,31455,9619,8379,100405,24673,0,27737,1775,7601,836,428,11674,22,2936,1624,2239,1097,1212,440,587,4876,44740,1769,779312,11970,2041,2771,24397,114,4621,1438,3068,12722,1960,674,10810,3724,891,1714,10563,1292,8842,1684,6757,840,13701,2590,65789,8859,4498,1514,4919,42274,13166,3401,3530,3656,2904,3140,2823,1575,2163,4832,0,5357,4159
2163,122881,6021,638,16609,12,3947,2935,2167,2637,203,2434,10635,4560,3636,76842,5162,0,10066,1009,3941,271,1111,5715,20,3423,464,1070,349,187,176,201,6244,12888,2259,2981,8532,671,1520,160,232,2189,319,1439,5307,1036,219,8155,2208,477,850,6479,123,8851,632376,1954,8,2082,785,47995,10814,3038,650,2195,52295,4840,1773,1659,1346,1093,2138,2477,561,1694,2717,0,4969,3215
1,88649,108,185,840,42,686,1499,236,3404,59,189,58,248,945,44819,5583,0,15861,619,4584,7,469,2670,0,2105,180,1070,64,18,14,13,7184,103,552,230,9696,23,1167,210,154,207,38,363,1210,886,221,931,550,407,656,2607,96,24766,3553,2650,0,66,126,44730,7052,2509,789,548,35206,207,1623,859,676,2898,1482,2811,930,2839,3108,0,3715,431
2351,43938,1838,299,265,58,2735,2414,337,5725,316,326,55,232,819,31797,20645,0,9987,460,3133,5,1005,4303,1,3712,185,846,200,21,17,20,5465,212,856,94,8760,48,681,6523,174,1601,42,213,5553,990,300,50771,562,357,728,1033,235,10371,3287,1986,4,573,108,38136,4866,1838,752,649,35510,343,1466,1034,503,1866,1293,2704,332,50,1219,0,2402,476
5,44278,525,95,3916,32,1007,505,175,3288,40,381,472,808,370,8995,1452,0,2116,297,1020,20,74,1192,0,432,138,419,26,13,81,4,6543,4385,1061,86,5420,1355,451,106,22,162,32,1801,4381,294,116,136027,340,145,360,1130,26,13445,472,383,2,69,93,17507,1587,865,341,512,16734,153,796,741,802,889,1267,2107,300,29,1038,0,4130,610
10,44334,1874,489,14727,126,3608,1125,285,2829,102,427,2774,4037,1498,22248,10422,0,10133,282,2762,107,465,10475,0,1058,1364,1081,65,116,224,71,7486,21841,3314,950,10998,3580,1449,900,176,1152,113,8505,30160,2263,279,236496,1897,660,618,2906,666,11593,2166,548,295,526,637,18256,4041,2678,583,3243,34936,554,1586,2245,2189,5786,4254,2341,748,23,2098,0,7930,1570
1,51300,68,369,3951,173,6039,1604,186,3924,49,10546,291,1763,1275,37847,14480,0,20898,145,2618,20,690,9060,0,1953,252,1045,36,20,53,28,9252,1227,3435,185,7800,1162,1400,1002,382,229,136,708,6498,795,198,6964,2670,261,397,1420,320,6568,3554,271,46,140,299,9894,4487,2825,544,2101,32387,540,818,1100,1049,5702,2217,2268,528,24,1355,0,5265,844
0,36636,1,19,49,95,155,331,143,4104,17,151,17,312,1625,23385,3673,0,3311,93,429,0,158,8356,0,596,59,426,7,0,4,4,6358,33,3536,27,3614,3,219,581,34,2,102,205,107,143,217,188,138,92,282,404,19,906,418,51,1,71,35,10795,813,1133,120,98,14325,113,395,203,91,1047,1150,1653,261,6,387,0,1913,320
0,26551,0,0,22,80,84,271,58,1269,19,153,13,321,7660,3125,402,0,1491,63,217,0,23,259,0,703,43,232,5,1,0,2,8082,14,5789,24,1990,0,173,1656,1,1,22,32,29,20,42,57,83,63,191,361,9,406,168,20,0,39,18,10389,457,1530,94,34,10018,56,281,116,31,158,1261,1294,91,6,235,0,2264,325
0,10602,0,0,35,12,85,151,9,206,1,8,3,329,919,6494,479,0,851,22,104,1,48,2317,7,38,38,194,1,0,0,0,7971,8,2157,20,2445,0,173,68,23,0,185,112,4,0,0,2,85,37,112,483,5,327,131,5,0,6,14,191,605,935,16,40,780,7,177,37,20,187,1499,1121,142,0,187,0,1846,322
0,276,0,0,2,0,26,6,1,12,0,0,3,134,109,697,109,0,183,2,25,0,6,3,2,0,16,21,0,0,0,0,4670,1,1513,1,154,0,26,0,0,0,4,1,0,0,0,0,17,0,0,168,1,8,17,0,0,0,1,4,39,365,0,0,0,0,75,2,4,9,771,58,13,0,44,0,595,181
5373,133009,7040,5957,115180,6466,26051,18239,47678,37622,4622,13928,21095,81268,6531,24612,149098,97,18806,2136,6120,1067,23896,27826,7,12689,3319,7605,11848,1759,1900,1118,10574,11517,19647,17345,23557,64157,5788,83010,2889,5616,16563,8008,39091,8534,11575,46188,43491,54709,2196,89968,8351,4322,11980,7791,1146,203933,16238,161646,14412,5821,1977,25265,91467,5200,9487,39451,4679,50751,9626,29145,3368,44,7181,0,7252,19950
0,233,0,0,22,17,64,97,4,218,1,12,21,208,179,2977,299,0,355,16,17,1,69,283,0,17,24,109,1,0,0,1,3476,12,36787,3,870,2,109,0,23,1,962,263,0,0,0,3,61,13,96,269,24,98,71,6,1,1,23,38,425,715,4,22,544,4,379,9,21,375,1711,761,138,0,511,0,752,339
0,443,0,5,49,4438,108,178,5,542,7,26,21,268,246,6192,673,0,793,33,51,2,92,261,0,785,39,238,1,0,2,1,4469,34,26803,14,1163,7,178,0,24,1,1598,183,25,63,0,26,131,36,232,406,72,153,156,13,1,2,47,173,413,1188,63,49,6414,53,1538,52,30,293,2784,1010,135,2,3965,0,952,274
0,354,0,444,336,13484,673,638,18,2684,30,48,85,510,360,7814,444,0,986,33,118,1,231,758,0,5082,32,525,1,2,13,8,2258,90,6039,40,1965,90,256,11,126,20,158,87,47,784,3,96,3387,394,263,492,222,125,669,42,5,12,166,248,588,1287,63,251,8052,455,559,69,59,3015,1748,849,41,5,206044,0,1065,460
0,354,0,550,1326,15052,1941,2133,35,2926,22,82,690,818,370,36308,530,0,521,54,104,18,259,1008,0,4001,78,542,5,7,22,26,3361,69,8427,84,2613,949,709,38,507,17,3024,355,467,8133,13,173,7031,97023,245,962,162,174,610,20,4,21,261,202,1077,1045,75,929,10226,1589,442,246,160,411,3950,987,170,10,1969,0,1405,663
0,579,23,1237,7951,17423,3512,1259,34,2511,37,79,941,9312,801,52125,1211,0,11561,97,729,147,425,4225,0,6211,189,1131,4,26,902,115,2450,666,7061,207,7512,31677,1336,160,1385,78,2037,573,1815,2655,124,1340,9753,580815,223,1681,441,388,1352,90,141,133,925,197,1865,1225,73,3509,9770,3760,464,701,314,4938,5714,1224,162,7,1447,0,2371,1287
0,1188,18,368,11722,11940,2611,385,30,2303,20,65,1565,286707,823,5144,1120,0,2879,75,1387,100,129,5173,0,3797,241,892,6,38,669,153,3769,663,4614,277,5532,27872,754,204,880,187,7736,265,1448,843,35,1179,1871,55438,256,1016,1245,476,656,189,352,1328,724,181,1110,394,72,3114,14360,2529,1264,543,433,7272,3376,1036,112,1,1021,0,3757,1118
0,617,26,4,54,6271,129,437,116,5068,76,113,239,206,145,1254,94,0,200,467,95,10,24,118,0,606,16,216,20,6,2,44,2911,62,3587,3,1542,144,154,320,21,21,1324,126,656,626,251,2087,149,1600,266,401,452,8,61,677,0,410,69,475,101,237,113,67,9911,495,488,295,288,39,2477,1076,55,7,355,0,421,349
0,93,0,47,82,11411,219,435,1,1492,25,32,199,93,263,17941,67,0,217,42,22,0,115,140,0,1510,31,694,2,3,6,13,515,67,3969,10,400,31,152,2,19,1,1937,392,29,9196,3,84,1606,900,199,415,109,18,157,21,0,1,120,160,453,150,39,38,5359,69,155,35,140,701,1775,418,94,2,204,0,726,426
