A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,GlashÙtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos GlashÙtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
248,1589,164,1565,11691,61134,1953,2251,4044,14340,8668,15417,2808,10347,18516,1318,594,18118,1322,307,66995,26001,4131,1081,172,64440,37770,3062,1762,2514,33173,17988,7889,388,4378,14161,2613,5035,2204,1064,801,250,3745,26403,548,29773,13741,18752,2187,56682,23072,18139,883,14628,3601,57338,118622,10725,1865,21466,29862,278,1330,5738,1643,15022,4344,823,6825,1055,5098,786,379,0,3092,81,851,2337
163,4318,2,7171,4091,74821,1651,4725,2919,36037,2697,9831,2564,5841,20744,1638,244,12364,1801,444,2524,341708,9146,1115,183,110140,21524,24308,675,2260,32278,13807,13492,108,3312,36515,2482,4102,3592,974,1204,35,8120,32866,2168,38844,69809,9924,3218,45335,33904,3979,1023,430814,2092,36008,893838,4586,2594,4255,7382,291,1030,2365,996,19547,4908,601,15361,1477,5190,679,1987,0,5373,104,700,855
151,3670,38,772,402,59340,1207,4639,1351,49572,2640,4864,543,5012,9143,884,46,12122,751,838,822,15836,9784,818,214,70197,4427,1656,1945,2330,16380,1266,5587,8,1668,1101,2274,359,1863,473,341,5,1807,44442,2907,31465,4910,4408,1979,30016,30668,1335,852,111781,1102,6532,35471,4698,2346,4460,298,202,1111,88,1301,11658,5022,270,15676,268,2323,652,6449,0,6426,1985,1280,254
258,2462,252,1882,1480,66808,1519,8932,2201,89976,2619,8103,1108,3649,2816,958,221,13359,704,466,498,16097,4006,921,216,106402,6073,6041,4967,2732,11163,1283,11269,218,1797,10313,5807,3799,3368,14659,251,63,1515,108732,2107,54721,11937,3155,2388,22788,30174,1738,1668,305434,865,24788,40404,11525,3488,9069,1188,234,2056,548,3589,25989,6637,999,23993,862,1810,1454,6138,2,7053,4728,473,569
166,342,0,2517,1833,36918,1049,7515,1017,66099,2218,3621,394,2962,2520,542,141,14768,338,1167,149,12092,1082,760,114,73258,4983,3255,614,3413,9258,2320,9696,56,2129,32595,2218,837,1932,429,112,13,1312,38317,376,40991,2128,2310,2261,10314,21874,2690,1464,154189,715,20586,138094,2029,4615,6598,7611,252,1734,601,968,24769,3776,113,24072,350,1610,513,2654,0,5021,98,612,514
192,120,0,1223,432,19185,858,7742,3999,24425,3717,5147,112,1643,3199,352,103,11854,313,175,113,5411,654,465,296,58434,3513,2022,839,3427,5586,252,7977,28,1795,646,5743,135,1493,237,92,7,206,14210,362,34924,431,928,1919,5426,19157,1049,1087,17450,362,8684,22036,1829,4665,7955,973,220,2966,138,1144,42016,2619,124,19913,255,1217,508,1241,1,3295,81,281,287
170,108,9,1424,4879,7678,1043,9370,2000,23553,195483,7382,302,1593,2419,518,287,12768,369,125,148,3582,469,1162,514,25986,5155,3214,669,3510,5622,3517,10734,126,1672,15125,1543,1315,2131,192,99,65,1656,12796,322,26909,439,3179,2198,2451,15939,17642,1287,261,543,23897,156508,2198,6293,4528,50538,284,2667,2267,1365,77003,2183,209,16134,381,1810,537,798,4,2215,73,3617,1076
179,74,14,794,12738,3664,1169,15158,2416,25159,2867,6262,183,4989,2018,282,745,10899,594,195,138,1438,325,1678,1293,11569,2353,3235,1222,2489,3132,1534,20729,117352,1146,1935,1001,1027,1213,111,63,597,188,10262,188,26827,3290,1273,1720,1288,10183,8933,1034,161,260,6161,28129,4067,5885,1875,5291,206,3657,1717,3720,53544,3272,321,12790,87,10676,446,691,19,1835,16,375,2075
89,867,192,2307,45157,1512,3565,43116,1344,29650,4068,7206,5284,30328,2844,1209,3325,5795,2165,467,179,5691,677,8218,713200,15252,7143,83251,3390,4793,10491,12406,65717,318582,4143,14342,3715,39618,5103,163,483,3098,1490,20758,522,35997,11437,4530,3286,928,9533,24058,4091,713,946,71282,49090,11959,12161,2617,24894,513,7078,15135,9794,78694,18632,2201,15136,2583,55045,977,849,112,3903,89,1754,9588
21,1157,0,173,1633,262,1059,20316,661,29076,1015,2254,48,244,1440,278,903,3247,480,246,122,1589,123,3310,957,4587,1744,5554,194,2137,4878,1798,39229,9,3836,530,514,131,2008,39,79,7,326,1889,101,21410,15,621,2980,647,6410,4241,2831,10,373,10353,4289,615,7120,868,4275,240,1968,378659,876,62728,1340,58,11172,169,1388,412,1077,2990,941,10,565,345
21,123,8,151,2419,169,582,4054,991,11748,852,2793,138,321,969,495,42824,3116,397,325,135,1976,125,1346,726,2502,948,3031,610,1462,1757,1856,15359,59,1360,373,840,365,2996,45,131,15,599,1256,313,16655,2036,548,1383,347,5705,1374,2444,4,460,18047,716,1138,4497,1136,1793,407,1661,556,1369,39057,1480,200,6509,8140,1410,547,370,1186,562,1615,687,474
5,4,1,203,4136,68,653,1539,1536,6033,214,1143,42,30309,563,149,962,2930,267,262,91,694,63,395,114,908,545,1843,119,1297,1860,2055,14071,82088,570,4127,240,217,848,36,83,118,194,3385,112,9290,177,597,1322,140,3606,6194,3214,35,322,2840,775,444,3215,452,2136,201,1052,1008,581,21223,1116,64,5230,82,1419,388,638,2591,569,3,363,699
3,34,2,846,13222,34,984,1363,973,3852,245,902,304,37456,926,573,1050,2805,350,332,112,2086,272,1722,189,6726,1812,2445,205,2405,3521,8757,16159,99207,1636,8741,728,1904,2631,33,202,529,772,5074,308,8075,1140,2200,1434,155,2867,18504,3273,129,811,13565,2603,977,4495,717,11900,377,1223,13559,930,26533,6691,225,5215,311,4933,537,773,1608,841,76,2167,3574
3,10,1,299,4638,20,854,915,684,3504,258,1189,112,534,853,645,514,2368,284,488,81,2626,180,2314,244,21893,1124,1412,71,3199,2193,1307,15592,565,1524,556,377,351,1651,41,194,36,328,802,205,7313,95,613,1312,115,2762,5962,1843,11,776,8936,622,329,3838,624,11088,253,1189,1355,1062,10534,8397,83,3989,382,7434,442,695,5984,542,137,2879,866
