A. Lange & S_hne (Richemont Group),Audemars Piguet,Ball,Baume & Mercier (Richemont Group),Bell & Ross,Benrus,Blancpain (Swatch Group),Breguet,Breitling,Bremont,Bulova,Bvlgari (LVMH),Cartier (Richemont Group),Casio,Certina (Swatch Group),Chopard,Christopher Ward,Chronoswiss,Citizen,Diesel,Doxa,Ebel (Movado),F.P. Journe,Fortis,Fossil,Fr_d_rique Constant,Girard,Glashôtte Original (Swatch Group),Gucci,Guess,Hamilton (Swatch Group),Hermes,HMT,Hublot (LVMH),Invicta,IWC (Richemont Group),Jaeger,Junghans,Longines (Swatch Group),Luminox,Marathon,MB&F,Michael Kors,Mido (Swatch Group),Mondaine,Montblanc,Movado,Nixon,Nomos Glashôtte,Omega (Swatch Group),Orient (Seiko),Oris,Panerai (Richemont Group),Patek Philippe,Piaget,Rado (Swatch Group),Raymond Weil,Richard Mille,Rolex,Rotary,Seiko,Sinn,Skagen,Stowa Stowa,Stuhrling,Suunto,Swatch,Swiss Legend (SWI),TAG Heuer (LVMH Group),Tianjin SeaGull,Timex,Tissot (Swatch Group),Tudor,Tutima,Ulysse Nardin,Vacheron Constantin (Richemont Group),Vostok,Zenith (LVMH)
425,1243,1775,969,16936,46550,54325,3891,14535,42723,4189,9843,3749,23972,6885,24729,1569,165,2374,687,908,3355,73178,13797,2111,17745,1856,3208,915,2147,8514,796,91295,60124,3984,10721,3995,22052,1968,3985,451,559,38793,4171,2036,31172,464,26427,2833,2134,2513,13693,1072,592,3172,7341,7285,19260,1723,11630,10560,2224,6326,3729,19747,17439,4042,3623,6630,29,11079,4754,2086,14991,2361,2,7095,1910
959,1425,1887,845,15026,47151,3262,3606,3116,35233,712,10765,3405,17069,5741,20930,1223,320,2400,813,1035,4750,2016,13247,416,25588,1767,3575,963,1773,7691,827,32728,40814,3580,5246,4057,14230,1799,7009,456,528,8964,6009,1877,23754,317,17198,2205,3447,2474,11993,1046,602,3050,7001,5903,9585,1520,9779,8441,2464,6026,1799,15784,15525,3640,2707,6414,16,10848,4724,2141,12109,2481,2,5182,1250
774,1435,2265,858,19880,50452,3122,3246,1905,22407,522,10219,3623,13137,31885,18072,1167,163,2383,636,861,4556,6765,12979,378,31343,1720,4502,1061,1653,8253,638,70335,34000,3647,4381,3439,12494,1689,2238,387,483,20000,8750,2002,16862,265,13502,1868,3647,2126,11706,1356,900,3582,6906,7339,3441,1443,9555,8196,2400,6542,1680,12245,10842,3817,2628,7315,19,10587,4354,5604,10412,2359,1,4500,1336
1404,1387,2632,817,14815,49839,2569,2941,1749,17894,546,12712,2309,11327,7201,15550,1029,281,2269,491,900,4929,3027,12324,377,37368,2126,5270,1129,1320,8131,485,111338,17845,3743,4308,3528,9484,1755,6581,384,401,4710,4348,1610,12800,232,8608,1609,4453,2204,9707,1269,937,2894,6895,6513,8725,1526,8556,5880,2351,6648,1201,10568,14050,3258,2463,5613,13,8569,3581,5066,9860,2753,1,4199,1393
2281,1393,2477,584,13661,46046,2728,3085,1934,14491,389,7858,2926,49195,4178,12226,1225,254,2202,451,849,5300,2548,12642,387,26120,2561,6889,1056,1218,9133,454,8574,23146,3906,6271,3253,9569,1589,3638,273,485,2786,6856,1866,11439,224,7517,1441,4199,2160,9832,1190,1777,2598,8104,7025,11004,1450,8933,3988,2437,6810,1474,9305,5029,3057,2623,5867,28,7811,3516,18946,9082,2626,1,5188,1065
1283,1939,3223,631,10064,34657,2718,3101,6521,13786,401,11221,2202,11273,4054,10074,1127,292,2406,417,988,5718,1658,11980,6902,29753,2191,7844,1282,1172,10599,425,10769,13045,5338,7827,3595,8214,1612,5627,295,400,3576,5789,1971,11939,215,9008,1204,4442,1956,9225,1316,1781,2325,8534,7392,10098,1511,10204,2859,2465,6635,1157,10189,10892,2771,2605,4499,15,8037,3421,17294,9879,2466,9,5556,896
1099,1344,3071,612,6570,32433,2235,2663,2316,13477,286,6527,1452,4281,3936,8165,895,217,2387,409,791,5328,1221,11755,26596,25432,1395,7490,993,1071,11892,426,4570,7902,9733,5080,2913,5850,1608,1059,205,304,3815,7240,1806,11312,186,12166,836,4500,2152,7116,1302,1460,2088,6895,8992,2684,1431,10458,2128,2433,6626,698,7796,3044,2341,676,5917,4,7482,3287,9124,9655,2004,0,4719,604
400,1487,3632,479,6677,27834,2416,4231,9311,11887,415,6246,2039,5653,3350,7065,1125,290,2374,353,918,4530,1228,11011,202,27076,1906,9514,946,1077,12346,398,7798,9226,7044,6172,3090,4618,1610,4072,257,277,4089,8282,1280,10119,245,8291,872,4253,2623,6604,1630,1536,2183,6523,9220,7158,1443,8966,1769,2175,6756,963,10397,2542,2096,2264,4863,29,7023,3346,7539,9989,2210,0,3821,739
345,1174,4791,418,2764,23869,1720,2145,687,8861,250,5014,517,1721,3614,5744,715,428,2368,328,716,3481,675,10093,96,19329,1290,7374,591,1020,10593,330,7737,794,6781,3673,2348,2502,1408,117,182,87,4742,6521,952,7922,232,7408,669,3902,2305,4496,1087,1616,1834,4837,9128,682,1378,7044,1649,2211,7625,371,6134,942,1714,321,4031,5,5522,3310,7122,10471,1827,0,2983,388
183,1979,5577,454,6943,30813,2615,2878,4839,10804,741,9693,2430,7554,3734,5803,1683,350,2624,458,825,3771,1309,10182,114,20053,1968,12495,653,973,14228,489,7951,8469,49421,7199,3696,5077,1529,7925,258,285,5978,5266,2082,10275,542,13033,818,4212,3139,6774,1654,2413,2747,7617,9373,7749,1342,7623,1732,2377,9467,1011,12930,1105,2234,2478,4872,27,5999,4038,8867,12700,3731,23,9663,763
157,1716,4374,405,3817,28028,1992,2741,5298,10868,840,5903,1365,3512,3649,5089,1166,432,2270,519,833,2251,982,9199,109,26824,1805,12106,392,952,11345,459,5187,5004,9728,7557,2855,1907,1386,2402,182,178,6547,4516,1179,7624,597,5739,641,5012,2516,4651,1216,2379,2959,6118,8317,1764,1253,6628,1527,1891,8200,508,9421,984,1692,496,4517,2,5584,3726,7502,11983,2186,0,3275,365
181,2014,4217,328,4553,24520,2135,2206,1038,7822,1191,6269,1699,6373,3497,4794,1831,313,2328,517,742,2000,592,8234,114,38196,1528,12476,327,1000,12800,453,5256,2804,8485,4864,2927,1946,1310,6278,241,199,6728,6737,1076,7434,874,4282,702,5325,2375,4399,1322,2359,2932,6079,8700,7441,1234,6471,1216,2024,7746,611,10216,882,1598,2155,4196,47,5100,3615,7211,11647,2288,21,2428,906
18,2124,5280,381,3161,26539,1879,2287,3057,8366,1607,6142,1404,1551,3758,4229,1276,355,1955,529,992,1352,710,8019,197,27572,2538,14638,270,857,13715,588,7997,4542,6422,6322,2802,1128,1204,3545,213,172,7384,5471,1283,7737,990,3460,647,5904,2274,3528,1283,2469,2899,5388,8897,1578,1254,6671,962,2155,7076,519,9752,903,1382,466,4102,6,4907,3550,6037,10458,2362,1,2474,316
30,2083,8936,310,1435,27826,1595,2271,577,6119,1559,5097,433,936,3635,3640,1155,323,1922,410,731,960,454,7289,138,26795,1791,12747,210,844,13992,472,3544,180,5617,3084,2415,191,1202,60,152,69,7122,7035,230,7548,1004,2355,547,6526,1982,2506,1119,3016,2718,3832,8360,559,1190,7578,750,1991,7809,236,7398,831,1134,157,3956,3,4428,3292,4475,10590,2132,0,2037,232
142,3797,15294,335,5379,34551,2299,2403,8238,7089,2037,8761,2774,13266,4535,3638,2770,400,2495,429,1270,827,656,8094,86,25121,2961,19954,301,810,19568,831,4913,6285,7753,4437,3378,2421,1225,13722,318,261,8855,5809,1564,8432,1020,3797,641,7635,2585,4728,1850,3976,4384,7779,8654,9271,1304,9296,574,2037,8287,842,13124,1184,1237,2210,3941,80,4793,5533,4682,10503,2487,64,2641,1143
22,3215,4570,276,2171,26657,1662,2582,624,4566,2436,5500,744,1638,4347,3146,1719,354,2020,324,1067,647,404,6807,97,27943,2478,15319,207,760,18188,618,4010,506,7091,1553,2563,563,1140,508,206,102,7972,7246,1032,7087,1250,3499,603,7472,1841,2612,1796,19631,2893,4837,8134,1124,1239,9911,493,1590,8843,411,8695,1037,1009,243,4026,4,4345,3645,4790,10316,2438,4,2201,220
27,5429,4194,264,2633,24959,1716,2392,6940,4069,2803,5540,1479,1429,4481,2865,1846,347,2486,320,1381,614,473,6743,11470,27224,3500,20396,236,732,20886,538,5449,3628,6908,1478,2621,1103,1000,4086,314,127,7367,9618,1054,7093,1760,3273,545,7947,1520,2530,2408,27918,3197,5021,7505,1341,1253,7699,423,1824,9675,490,7861,1135,1146,418,4041,5,4490,3863,4532,11241,2668,10,2003,236
16,6590,4710,249,3301,25429,1882,1980,7234,4999,3291,6305,2036,1655,3908,2829,2387,308,3007,234,1060,627,433,6250,117,29411,2944,20313,225,763,23629,601,5276,2117,6183,1052,2746,2382,1046,8065,312,160,7778,9464,578,6996,2497,2457,554,8433,1887,3461,1644,19773,2684,4871,6201,7704,1211,8063,396,1704,10612,471,6545,1255,1009,1709,125046,157,4360,4314,4889,10046,2741,30,2231,739
17,6522,4195,244,1621,22361,1438,1990,638,4018,3261,5742,843,1051,3687,2373,1857,344,1869,184,1256,913,434,5995,101,25712,3755,14886,219,680,21576,580,5683,394,6992,684,2139,269,908,145,235,105,7142,6216,540,6046,2728,2767,488,8896,1698,2009,1192,22895,2682,4025,6078,718,1205,5837,395,1739,9614,318,6424,1243,993,171,3742,2,3952,4640,5205,9998,2746,38,1993,185
12,9230,4839,236,2087,22249,1627,2049,2811,3431,3491,7217,1780,1391,3789,2431,2122,268,3689,164,1410,1268,440,5740,85,21314,3706,23311,229,741,24528,508,5073,3134,6417,797,2247,987,918,5140,344,131,7161,6615,716,7624,2536,2935,610,9612,2237,2247,1049,37406,3090,5228,6213,1624,1184,5848,427,1840,10460,448,6357,1470,1623,501,3784,4,4246,5578,5655,11432,3116,26,2020,226
15,12741,5216,228,1646,20122,1465,1777,497,2043,3183,7804,1426,1639,3777,2226,1894,389,5001,137,1506,1182,479,5697,68,16926,3738,15699,182,683,23405,465,3588,499,5020,557,2011,292,844,203,285,119,6772,6514,625,6694,2471,3151,572,10151,2327,1854,785,169312,2962,4704,6426,969,1096,4759,449,1809,9591,380,4780,1337,1427,161,3664,12,4093,6359,5697,11932,3072,35,2013,175
21,16606,5769,252,772,19172,1341,1917,352,1737,3385,9031,1132,1074,4082,2547,1711,420,1588,108,1099,1183,357,4884,203,12657,3735,17239,206,705,24098,538,3564,138,4884,443,1871,87,863,76,231,65,6675,7181,116,6296,2612,2012,412,10731,2772,1325,510,6793,2422,3828,5756,867,1075,4003,482,1659,11716,187,3111,1458,1107,75,3783,0,4115,7900,5660,12858,3300,15,35450,137
14,25225,5028,282,4788,19479,1806,1817,2172,2122,2889,13649,5238,5697,4353,2207,2406,384,9648,120,2229,1463,582,5843,108,11535,4618,28954,269,731,26682,598,3682,4873,4771,863,2703,4235,822,17281,363,387,6781,7792,1232,6925,2468,3212,537,11453,4044,4948,958,6236,2661,17866,6259,7248,1108,4354,417,1780,12919,774,7514,1614,1277,2357,3635,535,4281,9092,6022,12900,3385,326,2495,826
